RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-08-31,num_restaurant,num_bank,num_fast_food,num_cafe,num_place_of_worship,num_school,num_bicycle_rental,has_features
84612,1636,60610,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2478.8784716475006,1999,204,903,711,933,295,865,True
75151,1638,39110,zip,MS,MS,Madison,"Jackson, MS",Madison County,2194.577777777778,23,5,21,3,117,22,0,True
95988,1640,90007,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2706.564393939394,2034,191,1158,615,713,343,126,True
97571,1641,94117,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3488.2561728395062,1681,188,397,722,139,74,118,True
99521,1647,98036,zip,WA,WA,Lynnwood,"Seattle-Tacoma-Bellevue, WA",Snohomish County,2103.0706349206357,61,17,31,28,1,2,0,True
93448,1650,80524,zip,CO,CO,Fort Collins,"Fort Collins, CO",Larimer County,1958.1852689793868,139,26,81,48,4,12,1,True
91853,1651,77339,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1712.0640873015873,817,118,684,183,930,76,41,True
92449,1667,78415,zip,TX,TX,Corpus Christi,"Corpus Christi, TX",Nueces County,1402.7777777777776,55,6,40,9,86,73,0,True
67658,1671,23323,zip,VA,VA,Chesapeake,"Virginia Beach-Norfolk-Newport News, VA-NC",Chesapeake City,2573.194444444445,161,5,51,14,12,15,0,True
94481,1672,84121,zip,UT,UT,Cottonwood Heights,"Salt Lake City, UT",Salt Lake County,2015.8219696969695,23,5,14,2,3,3,0,True
94731,1673,85015,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1240.0814536340852,515,43,353,145,144,126,49,True
98480,1690,95926,zip,CA,CA,Chico,"Chico, CA",Butte County,1687.0299145299143,22,2,18,8,18,2,0,True
72907,1692,33914,zip,FL,FL,Cape Coral,"Cape Coral-Fort Myers, FL",Lee County,2295.339153439153,46,8,12,7,34,10,0,True
97572,1694,94118,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,3294.255980861244,1681,188,397,722,139,74,118,True
96173,1696,90605,zip,CA,CA,Whittier,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2910.75,2,0,17,1,27,6,0,True
75581,1724,40229,zip,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,1594.0,259,20,138,62,89,60,5,True
77923,1729,46037,zip,IN,IN,Fishers,"Indianapolis-Carmel-Anderson, IN",Hamilton County,1956.2738095238092,37,8,33,6,5,4,0,True
92317,1734,78221,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1217.361111111111,328,24,342,76,605,166,65,True
74178,1740,37115,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1544.0550116550114,283,27,173,68,759,193,11,True
74252,1741,37221,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,1716.30930335097,283,27,173,68,759,193,11,True
96410,1743,91401,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2592.726107226108,2034,191,1158,615,713,343,126,True
92312,1752,78216,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1154.078779245446,328,24,342,76,605,166,65,True
88443,1753,70056,zip,LA,LA,Gretna,"New Orleans-Metairie, LA",Jefferson Parish,2033.3333333333333,2,0,0,0,19,13,0,True
96933,1764,92591,zip,CA,CA,Temecula,"Riverside-San Bernardino-Ontario, CA",Riverside County,2896.882284382284,69,4,44,16,2,5,0,True
98000,1767,95132,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,3936.944444444445,684,88,509,239,80,45,65,True
69771,1769,28208,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,1702.256023690941,425,28,283,94,60,28,25,True
